@iter: 515, score: 112, epsilon: 0.01
@iter: 516, score: 148, epsilon: 0.01
@iter: 517, score: 139, epsilon: 0.01
@iter: 518, score: 129, epsilon: 0.01
@iter: 519, score: 112, epsilon: 0.01
@iter: 520, score: 116, epsilon: 0.01
@iter: 521, score: 129, epsilon: 0.01
@iter: 522, score: 126, epsilon: 0.01
@iter: 523, score: 129, epsilon: 0.01
@iter: 524, score: 113, epsilon: 0.01
@iter: 525, score: 127, epsilon: 0.01
@iter: 526, score: 128, epsilon: 0.01
@iter: 527, score: 126, epsilon: 0.01
@iter: 528, score: 105, epsilon: 0.01
@iter: 529, score: 146, epsilon: 0.01
@iter: 530, score: 134, epsilon: 0.01
@iter: 531, score: 128, epsilon: 0.01
@iter: 532, score: 124, epsilon: 0.01
@iter: 533, score: 133, epsilon: 0.01
@iter: 534, score: 148, epsilon: 0.01
@iter: 535, score: 151, epsilon: 0.01
@iter: 536, score: 136, epsilon: 0.01
@iter: 537, score: 138, epsilon: 0.01
@iter: 538, score: 70, epsilon: 0.01
@iter: 539, score: 155, epsilon: 0.01
@iter: 540, score: 46, epsilon: 0.01
@iter: 541, score: 37, epsilon: 0.01
@iter: 542, score: 106, epsilon: 0.01
@iter: 543, score: 123, epsilon: 0.01
@iter: 544, score: 107, epsilon: 0.01
@iter: 545, score: 112, epsilon: 0.01
@iter: 546, score: 114, epsilon: 0.01
@iter: 547, score: 103, epsilon: 0.01
@iter: 548, score: 114, epsilon: 0.01
@iter: 549, score: 112, epsilon: 0.01
@iter: 550, score: 115, epsilon: 0.01
@iter: 551, score: 199, epsilon: 0.01
@iter: 552, score: 109, epsilon: 0.01
@iter: 553, score: 127, epsilon: 0.01
@iter: 554, score: 118, epsilon: 0.01
@iter: 555, score: 109, epsilon: 0.01
@iter: 556, score: 124, epsilon: 0.01
@iter: 557, score: 125, epsilon: 0.01
@iter: 558, score: 118, epsilon: 0.01
@iter: 559, score: 131, epsilon: 0.01
@iter: 560, score: 113, epsilon: 0.01
@iter: 561, score: 96, epsilon: 0.01
@iter: 562, score: 103, epsilon: 0.01
@iter: 563, score: 111, epsilon: 0.01
@iter: 564, score: 115, epsilon: 0.01
@iter: 565, score: 109, epsilon: 0.01
@iter: 566, score: 131, epsilon: 0.01
@iter: 567, score: 116, epsilon: 0.01
@iter: 568, score: 116, epsilon: 0.01
@iter: 569, score: 135, epsilon: 0.01
@iter: 570, score: 127, epsilon: 0.01
@iter: 571, score: 143, epsilon: 0.01
@iter: 572, score: 122, epsilon: 0.01
@iter: 573, score: 99, epsilon: 0.01
@iter: 574, score: 83, epsilon: 0.01
@iter: 575, score: 199, epsilon: 0.01
@iter: 576, score: 190, epsilon: 0.01
@iter: 577, score: 148, epsilon: 0.01
@iter: 578, score: 129, epsilon: 0.01
@iter: 579, score: 199, epsilon: 0.01
@iter: 580, score: 128, epsilon: 0.01
@iter: 581, score: 97, epsilon: 0.01
@iter: 582, score: 142, epsilon: 0.01
@iter: 583, score: 108, epsilon: 0.01
@iter: 584, score: 107, epsilon: 0.01
@iter: 585, score: 145, epsilon: 0.01
@iter: 586, score: 161, epsilon: 0.01
@iter: 587, score: 188, epsilon: 0.01
@iter: 588, score: 98, epsilon: 0.01
@iter: 589, score: 199, epsilon: 0.01
@iter: 590, score: 197, epsilon: 0.01
@iter: 591, score: 151, epsilon: 0.01
@iter: 592, score: 126, epsilon: 0.01
@iter: 593, score: 113, epsilon: 0.01
@iter: 594, score: 112, epsilon: 0.01
@iter: 595, score: 116, epsilon: 0.01
@iter: 596, score: 120, epsilon: 0.01
@iter: 597, score: 131, epsilon: 0.01
@iter: 598, score: 123, epsilon: 0.01
@iter: 599, score: 133, epsilon: 0.01
@iter: 600, score: 109, epsilon: 0.01
@iter: 601, score: 123, epsilon: 0.01
@iter: 602, score: 123, epsilon: 0.01
@iter: 603, score: 116, epsilon: 0.01
@iter: 604, score: 141, epsilon: 0.01
@iter: 605, score: 135, epsilon: 0.01
@iter: 606, score: 128, epsilon: 0.01
@iter: 607, score: 137, epsilon: 0.01
@iter: 608, score: 127, epsilon: 0.01
@iter: 609, score: 182, epsilon: 0.01
@iter: 610, score: 133, epsilon: 0.01
